name,formula,variables,units,source,notes
Heq desde Inercia (UI),"Heq_cm = ³√((I_cm4 × 12)/80)","I_cm4: inercia del producto (cm⁴)","cm","public/assets/app.js:867-877","Fórmula mostrada en la tarjeta de cada producto (display)"
Área de losa (comparación Atex vs Macizo),"area_m2 = ejeX_m × ejeY_m","ejeX_m,ejeY_m: dimensiones de luz (m)","m²","src/CalculoAtex.php:28-29","Usado en sección comparativa de la UI"
Luz mayor,"luz_mayor_m = max(ejeX_m, ejeY_m)","ejeX_m,ejeY_m (m)","m","src/CalculoAtex.php:30","Base para momentos simplificados"
Momentos simplificados,"Mx = My = (carga_total × luz_mayor_m^2) / 100","carga_total: 900 kg/m²; luz_mayor_m: m","kN·m (aprox)","src/CalculoAtex.php:29-34","Modelo simplificado solo para comparación visual"
Hormigón macizo (comparación),"hormigon_macizo_m3_m2 = (h_macizo_cm × coef_carga)/100","h_macizo_cm: cm; coef_carga: adimensional","m³/m²","src/CalculoAtex.php:36-39","Convierte altura en cm a consumo volumétrico"
Hormigón Atex (comparación),"hormigon_atex_m3_m2 = q_atex","q_atex: consumo Atex m³/m²","m³/m²","src/CalculoAtex.php:39-41","Valor específico provisto por usuario o por defecto"
Ahorro de hormigón (comparación),"ahorro_hormigon_pct = ((hormigon_macizo - hormigon_atex)/hormigon_macizo) × 100","-","%","src/CalculoAtex.php:41-48","-"
Acero macizo (comparación),"acero_macizo_kg_m2 = 13.4","constante","kg/m²","src/CalculoAtex.php:45","Valor fijo para la comparación simplificada"
Acero Atex (comparación),"acero_atex_kg_m2 = 8.0","constante","kg/m²","src/CalculoAtex.php:46","Valor fijo para la comparación simplificada"
Ahorro de acero (comparación),"ahorro_acero_pct = ((acero_macizo - acero_atex)/acero_macizo) × 100","-","%","src/CalculoAtex.php:48","-"
Estado (comparación Atex vs Macizo),"estado = { excelente, muy_bueno, bueno, aceptable, insuficiente } por umbrales","excelente: ≥25% hormigón y ≥35% acero; muy_bueno: ≥20% y ≥25%; bueno: ≥15% y ≥20%; aceptable: ≥10% y ≥15%","-","src/CalculoAtex.php:103-109","Solo para sección comparativa informativa"
